verteces,init,finalize,tarjan,user,system,elapsed,pCPU
819200,3.480461,0.050727,3.864865,7.06,0.36,7.47,99;
819200,3.479113,0.060614,3.849079,7.13,0.30,8.72,85;
819200,3.499223,0.051165,3.873985,7.19,0.27,7.50,99;
819200,3.514217,0.060135,3.848279,7.13,0.33,8.40,88;
819200,3.504148,0.055900,3.857917,7.19,0.28,16.88,44;
819200,3.546615,0.055687,3.847629,7.20,0.31,10.21,73;
819200,3.523304,0.051268,3.884586,7.19,0.30,7.54,99;
819200,3.518203,0.051433,3.869368,7.12,0.34,7.52,99;
819200,3.499585,0.051012,3.890343,7.17,0.31,7.92,94;
819200,3.528907,0.050772,3.857291,7.10,0.37,7.51,99;
819200,3.533211,0.051182,3.874561,7.25,0.24,7.53,99;
819200,3.504722,0.058982,3.856481,7.15,0.32,8.69,86;
819200,3.513682,0.050770,3.850326,7.21,0.23,7.49,99;
819200,3.503679,0.060535,3.855531,7.23,0.23,8.41,88;
819200,3.496845,0.051098,3.871928,7.17,0.28,7.49,99;
819200,3.495751,0.062215,3.878184,7.21,0.29,8.43,88;
819200,3.507102,0.050855,3.860159,7.19,0.27,7.49,99;
819200,3.499614,0.059774,3.891536,7.22,0.28,8.41,89;
819200,3.501147,0.051123,3.890740,7.16,0.31,7.52,99;
819200,3.501014,0.051044,3.891745,7.14,0.34,7.52,99;
819200,3.504404,0.050900,3.858897,7.16,0.28,7.49,99;
819200,3.501592,0.051116,3.893123,7.18,0.29,7.52,99;
819200,3.506480,0.054650,3.864597,7.14,0.34,10.19,73;
819200,3.512036,0.054744,3.849213,7.17,0.30,8.22,90;
819200,3.537546,0.051240,3.872842,7.18,0.31,7.54,99;
