Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
150000,1.147118,12.258154,0.351156,0.000569,0.10,0.04,17.16,0;
150000,1.150105,12.219556,0.351801,0.000545,0.15,0.01,14.31,1;
150000,1.141815,12.223409,0.350941,0.000547,0.13,0.04,14.35,1;
150000,1.148087,12.239547,0.352576,0.000539,0.09,0.07,14.48,1;
150000,1.155826,12.234252,0.351469,0.000543,0.09,0.07,16.31,1;
150000,1.152381,12.228326,0.353062,0.000555,0.09,0.06,16.28,0;
150000,1.180852,12.236307,0.352274,0.000545,0.12,0.05,16.30,1;
150000,1.205657,12.218269,0.350770,0.000579,0.10,0.06,16.25,1;
150000,1.146056,12.218242,0.352173,0.000550,0.14,0.03,16.30,1;
150000,1.147580,12.189498,0.350248,0.000545,0.08,0.06,16.26,0;
150000,1.193340,12.298093,0.352347,0.000570,0.13,0.04,16.29,1;
150000,1.181910,12.201833,0.350487,0.000584,0.15,0.00,16.27,0;
150000,1.147888,12.206040,0.351764,0.000562,0.09,0.07,16.29,1;
150000,1.147695,12.297860,0.352433,0.000551,0.11,0.05,16.27,1;
150000,1.188280,12.219901,0.352390,0.000544,0.11,0.05,16.31,1;
150000,1.181570,12.265012,0.353676,0.000571,0.10,0.05,16.26,0;
150000,1.154496,12.288425,0.350945,0.000544,0.12,0.05,16.31,1;
150000,1.147642,12.233941,0.351089,0.000543,0.09,0.07,16.25,1;
150000,1.190592,12.291127,0.354121,0.000541,0.08,0.07,16.31,1;
150000,1.179368,12.263014,0.353430,0.000550,0.11,0.05,18.93,0;
150000,1.147702,12.243780,0.352307,0.000544,0.10,0.06,14.33,1;
150000,1.150693,12.199381,0.352009,0.000551,0.07,0.08,14.29,1;
150000,1.151751,12.207022,0.350431,0.000546,0.14,0.02,14.56,1;
150000,1.192894,12.238330,0.352302,0.000562,0.09,0.07,17.28,1;
150000,1.157852,12.217423,0.351044,0.000547,0.11,0.05,14.34,1;
