Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
10000,0.036086,0.204113,0.010555,0.000243,0.19,0.07,1.16,23;
10000,0.036850,0.205440,0.010810,0.000241,0.18,0.09,1.21,23;
10000,0.036144,0.201680,0.010431,0.000245,0.12,0.04,11.20,1;
10000,0.035980,0.201884,0.010547,0.000245,0.21,0.06,1.15,24;
10000,0.035794,0.239122,0.011562,0.000242,0.26,0.11,1.20,31;
10000,0.037427,0.199675,0.010507,0.000239,0.11,0.06,1.22,14;
10000,0.036922,0.199149,0.010557,0.000245,0.13,0.03,1.26,13;
10000,0.036190,0.221439,0.010461,0.000241,0.28,0.10,1.23,31;
10000,0.036410,0.233038,0.011610,0.000278,0.11,0.04,1.20,13;
10000,0.036205,0.201744,0.010497,0.000239,0.38,0.11,1.22,40;
10000,0.035849,0.207196,0.010496,0.000249,0.08,0.08,1.17,14;
10000,0.036296,0.203061,0.010512,0.000238,0.28,0.11,1.21,32;
10000,0.036978,0.203053,0.010608,0.000239,0.18,0.10,1.17,24;
10000,0.035925,0.202226,0.010600,0.000245,0.17,0.08,1.20,21;
10000,0.036036,0.202735,0.010411,0.000238,0.09,0.08,1.15,14;
10000,0.046493,0.202110,0.010488,0.000252,0.31,0.08,1.22,32;
10000,0.037118,0.200465,0.010489,0.000251,0.18,0.08,1.14,23;
10000,0.036297,0.201033,0.010501,0.000247,0.30,0.08,1.21,32;
10000,0.035824,0.203813,0.010433,0.000247,0.12,0.04,1.12,15;
10000,0.036119,0.202547,0.010505,0.000241,0.09,0.06,1.22,13;
10000,0.036581,0.199024,0.010438,0.000250,0.28,0.10,1.15,33;
10000,0.035838,0.201616,0.010793,0.000250,0.18,0.09,1.20,22;
10000,0.036328,0.202513,0.010765,0.000243,0.23,0.04,1.16,24;
10000,0.040182,0.205001,0.010384,0.000243,0.14,0.03,1.23,13;
10000,0.035844,0.201111,0.010411,0.000241,0.20,0.07,1.16,23;
