verteces,init,finalize,tarjan,user,system,elapsed,pCPU
1000000,1.603437,0.006339,3.479852,4.89,0.22,5.12,99;
1000000,1.603693,0.011320,3.479079,4.90,0.22,7.60,67;
1000000,1.614250,0.006394,3.505017,4.97,0.17,5.15,99;
1000000,1.603844,0.006294,3.496801,4.96,0.16,5.14,99;
1000000,1.602325,0.006331,3.482040,4.90,0.20,5.12,99;
1000000,1.614700,0.006615,3.523719,4.95,0.22,5.17,99;
1000000,1.610649,0.006141,3.491128,4.95,0.18,5.14,99;
1000000,1.610682,0.005895,3.488380,4.92,0.20,5.13,99;
1000000,1.604344,0.010000,3.493483,4.88,0.26,7.80,66;
1000000,1.636428,0.006430,3.523712,4.99,0.20,5.19,99;
1000000,1.602551,0.005906,3.478978,4.87,0.23,5.12,99;
1000000,1.610837,0.006581,3.493037,4.92,0.20,5.14,99;
1000000,1.611033,0.006716,3.490890,4.96,0.16,5.14,99;
1000000,1.604530,0.005636,3.491072,4.96,0.15,5.13,99;
1000000,1.603791,0.005593,3.483031,4.84,0.27,5.12,99;
1000000,1.604629,0.005612,3.494537,4.92,0.20,5.13,99;
1000000,1.605104,0.005536,3.498143,4.91,0.22,5.14,99;
1000000,1.611644,0.006737,3.505554,4.97,0.18,5.15,99;
1000000,1.604444,0.005500,3.495079,4.94,0.19,5.13,99;
1000000,1.603708,0.005447,3.479965,4.90,0.20,5.12,99;
1000000,1.610753,0.006654,3.494273,4.91,0.21,5.14,99;
1000000,1.605557,0.006002,3.492945,4.87,0.25,5.13,99;
1000000,1.604632,0.006046,3.496606,4.92,0.20,5.13,99;
1000000,1.603843,0.006011,3.477799,4.89,0.21,5.11,99;
1000000,1.603631,0.006302,3.487131,4.92,0.20,5.12,99;
