verteces,init,finalize,tarjan,user,system,elapsed,pCPU
6000,60.040965,0.001810,19.945998,77.38,2.76,99.55,80;
6000,59.233889,0.001959,19.935633,76.91,2.44,96.39,82;
6000,59.715923,0.001693,19.890630,77.32,2.46,88.66,89;
6000,59.933651,0.001902,19.937169,77.36,2.68,100.90,79;
6000,59.590248,0.002017,20.001231,77.38,2.38,93.10,85;
6000,60.035307,0.001899,20.018684,77.67,2.56,96.58,83;
6000,59.752616,0.001950,19.877178,77.35,2.46,98.28,81;
6000,59.566387,0.001665,20.013883,77.39,2.36,95.01,83;
6000,59.650616,0.001698,19.887807,77.23,2.48,97.07,82;
6000,60.048631,0.001649,19.878743,77.45,2.65,97.13,82;
6000,59.809812,0.001711,20.020316,77.34,2.66,98.03,81;
6000,59.598281,0.001629,19.950003,77.22,2.50,93.36,85;
6000,59.420144,0.001717,19.961270,77.14,2.42,100.99,78;
6000,59.872863,0.001729,20.017018,77.54,2.52,96.46,83;
6000,59.959642,0.001827,19.891890,77.51,2.52,99.77,80;
6000,60.021953,0.001633,19.889264,77.54,2.54,98.73,81;
6000,60.106207,0.001654,20.015435,77.78,2.52,98.47,81;
6000,59.595348,0.001646,19.890275,77.42,2.24,98.59,80;
6000,59.673352,0.001652,20.012645,77.36,2.49,97.22,82;
6000,59.695470,0.001890,19.944819,77.38,2.43,83.38,95;
6000,59.425593,0.001912,19.876353,77.08,2.39,83.12,95;
6000,59.525829,0.001705,19.890877,77.26,2.33,99.40,80;
6000,59.388007,0.001842,19.904123,76.75,2.72,87.72,90;
6000,59.745757,0.001740,19.897870,77.20,2.62,98.80,80;
6000,59.636105,0.001824,20.032737,77.44,2.40,90.10,88;
