Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
150000,1.168067,9.772489,0.355874,0.000523,0.11,0.04,15.12,1;
150000,1.180033,9.934869,0.356344,0.000556,0.19,0.06,16.33,1;
150000,1.153783,9.274484,0.356344,0.000578,0.17,0.10,17.54,1;
150000,1.156754,10.015101,0.355801,0.000579,0.10,0.05,16.29,0;
150000,1.175993,9.184135,0.354564,0.000557,0.11,0.07,19.02,0;
150000,1.163722,9.111048,0.355124,0.000558,0.18,0.09,15.04,1;
150000,1.159373,9.072796,0.354818,0.000571,0.10,0.04,15.20,0;
150000,1.166398,11.177996,0.351997,0.000559,0.08,0.06,16.32,0;
150000,1.156219,10.101378,0.358253,0.000587,0.11,0.07,16.75,1;
150000,1.157305,9.502226,0.357374,0.000551,0.08,0.09,14.65,1;
150000,1.164004,9.231440,0.357802,0.000556,0.09,0.08,16.25,1;
150000,1.161361,9.731942,0.361590,0.000573,0.08,0.08,18.08,0;
150000,1.155365,9.826391,0.356057,0.000567,0.10,0.06,17.05,1;
150000,1.160883,10.024249,0.356894,0.000582,0.22,0.05,19.07,1;
150000,1.153349,9.422130,0.361630,0.000514,0.08,0.07,16.83,0;
150000,1.153507,10.468910,0.355873,0.000581,0.14,0.03,20.55,0;
150000,1.157009,9.848822,0.363913,0.000560,0.09,0.07,15.46,1;
150000,1.182956,10.237328,0.355889,0.000572,0.09,0.07,15.46,1;
150000,1.166764,10.047194,0.359468,0.000558,0.19,0.08,16.02,1;
150000,1.154375,10.192919,0.363573,0.000572,0.12,0.04,15.71,1;
150000,1.172097,9.001436,0.355445,0.000552,0.12,0.02,14.92,0;
150000,1.155847,11.151748,0.355125,0.000576,0.21,0.05,16.79,1;
150000,1.198449,10.441705,0.359509,0.000888,0.10,0.07,16.54,1;
150000,1.170693,9.120184,0.354535,0.000581,0.10,0.06,15.31,1;
150000,1.154371,9.831421,0.357666,0.000575,0.16,0.10,18.96,1;
