verteces,init,finalize,tarjan,user,system,elapsed,pCPU
500000,9.364512,0.003169,2.680584,11.92,0.15,12.07,99;
500000,9.420515,0.003194,2.702353,11.98,0.17,12.15,99;
500000,9.371492,0.003054,2.680391,11.91,0.15,12.08,99;
500000,9.469509,0.003159,2.694968,12.03,0.15,12.20,99;
500000,9.362594,0.003122,2.682280,11.85,0.22,12.07,99;
500000,9.392152,0.003243,2.695126,11.92,0.18,12.12,99;
500000,9.404723,0.003164,2.697954,11.97,0.15,12.14,99;
500000,9.333712,0.003104,2.681188,11.84,0.19,12.04,99;
500000,9.335453,0.003175,2.691692,11.83,0.21,12.06,99;
500000,9.410499,0.003214,2.703162,11.99,0.14,12.14,99;
500000,9.353580,0.003073,2.681599,11.86,0.19,12.06,99;
500000,9.405819,0.003211,2.708044,11.95,0.18,12.15,99;
500000,9.339714,0.003129,2.681994,11.86,0.17,12.05,99;
500000,9.334864,0.003196,2.692970,11.77,0.27,12.06,99;
500000,9.343329,0.003107,2.680868,11.89,0.15,12.05,99;
500000,9.370991,0.003128,2.684104,11.96,0.11,12.08,99;
500000,9.415499,0.003195,2.702085,11.91,0.22,12.15,99;
500000,9.436970,0.003084,2.690999,11.98,0.17,12.16,99;
500000,9.376521,0.003161,2.688725,11.92,0.17,12.09,99;
500000,9.410364,0.003179,2.699288,11.95,0.18,12.14,99;
500000,9.348892,0.002964,2.691223,11.87,0.18,12.07,99;
500000,9.351999,0.003137,2.693690,11.88,0.17,12.07,99;
500000,9.432612,0.003162,2.698369,11.98,0.16,12.16,99;
500000,9.351645,0.003148,2.680675,11.90,0.16,12.06,99;
500000,9.403803,0.003206,2.706409,11.90,0.22,12.14,99;
