Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
51200,0.123479,1.135708,0.070332,0.048022,0.12,0.06,2.13,8;
51200,0.122810,1.134802,0.070505,0.047834,0.09,0.07,2.12,7;
51200,0.119983,1.125570,0.070188,0.047484,0.11,0.06,2.13,8;
51200,0.122443,1.136121,0.070613,0.047862,0.10,0.05,2.12,7;
51200,0.120442,1.140298,0.070206,0.047158,0.08,0.07,2.13,7;
51200,0.126667,1.134382,0.070534,0.047840,0.11,0.04,2.13,7;
51200,0.120781,1.142455,0.070544,0.047576,0.11,0.04,10.08,1;
51200,0.120172,1.126916,0.070274,0.046674,0.09,0.08,4.71,3;
51200,0.120316,1.124384,0.070193,0.047192,0.10,0.06,2.13,7;
51200,0.124993,1.127499,0.070307,0.048357,0.11,0.05,4.74,3;
51200,0.120337,1.132692,0.070411,0.046943,0.10,0.07,2.13,7;
51200,0.120990,1.135365,0.070571,0.047807,0.09,0.05,2.10,7;
51200,0.122544,1.124646,0.070468,0.047685,0.07,0.08,2.12,7;
51200,0.121336,1.151465,0.070464,0.047039,0.10,0.05,2.14,7;
51200,0.120420,1.126725,0.070227,0.047142,0.11,0.04,2.11,7;
51200,0.124232,1.128163,0.070483,0.047945,0.08,0.08,2.13,8;
51200,0.120043,1.154837,0.070497,0.046810,0.09,0.07,2.15,7;
51200,0.123451,1.129092,0.070572,0.047222,0.09,0.07,2.11,7;
51200,0.120008,1.134439,0.070421,0.047560,0.09,0.06,2.14,7;
51200,0.123687,1.136320,0.070446,0.047508,0.09,0.05,6.57,2;
51200,0.120813,1.128904,0.070382,0.047704,0.10,0.08,2.12,8;
51200,0.127124,1.124761,0.070270,0.048228,0.09,0.05,2.11,7;
51200,0.121795,1.135657,0.070288,0.047770,0.11,0.06,2.13,8;
51200,0.121659,1.126259,0.070358,0.047281,0.11,0.04,2.10,7;
51200,0.121178,1.123019,0.070144,0.047744,0.08,0.08,2.12,7;
