Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
409600,0.966199,15.003199,0.817296,0.368640,0.11,0.05,24.00,0;
409600,0.964484,15.226216,0.815898,0.370173,0.12,0.04,17.17,0;
409600,0.954376,15.048720,0.817537,0.369372,0.11,0.05,23.81,0;
409600,0.961860,14.934314,0.815477,0.370401,0.13,0.04,17.58,1;
409600,0.954729,15.036336,0.814187,0.370216,0.11,0.06,19.64,0;
409600,0.953962,14.970948,0.817798,0.370704,0.08,0.08,16.89,1;
409600,0.950962,15.082099,0.819024,0.371193,0.10,0.05,22.30,0;
409600,0.968645,14.927388,0.812319,0.373329,0.02,0.11,19.09,0;
409600,0.954592,15.246456,0.818160,0.373968,0.12,0.04,22.51,0;
409600,0.953647,14.937709,0.817454,0.370181,0.08,0.07,18.01,0;
409600,0.950214,15.357476,0.817983,0.370302,0.11,0.03,22.60,0;
409600,0.956086,14.911877,0.818809,0.367220,0.12,0.02,18.29,0;
409600,0.960852,14.969955,0.818902,0.368442,0.13,0.01,24.14,0;
409600,0.964808,15.102521,0.816519,0.374571,0.06,0.10,17.08,0;
409600,0.996780,15.349546,0.816293,0.371014,0.10,0.07,24.15,0;
409600,0.965793,14.925088,0.821209,0.375397,0.09,0.06,16.85,0;
409600,0.965486,14.923161,0.819045,0.371313,0.10,0.06,24.40,0;
409600,0.954393,15.028030,0.818403,0.368313,0.08,0.07,16.94,0;
409600,0.962121,15.237981,0.817435,0.372490,0.08,0.08,20.66,0;
409600,0.963866,15.064024,0.818462,0.371726,0.09,0.05,17.73,0;
409600,0.953982,15.188890,0.819556,0.368942,0.09,0.07,22.50,0;
409600,0.965492,15.031626,0.816801,0.373716,0.10,0.06,17.56,0;
409600,0.962770,15.020209,0.818062,0.369931,0.08,0.09,16.95,1;
409600,0.974227,15.122814,0.817017,0.373033,0.08,0.07,19.73,0;
409600,0.954586,15.027097,0.819858,0.367182,0.08,0.08,19.60,0;
