verteces,init,finalize,tarjan,user,system,elapsed,pCPU
500000,9.372312,0.003189,2.688843,11.87,0.22,12.09,99;
500000,9.421043,0.003271,2.711153,11.98,0.18,12.16,99;
500000,9.348240,0.003272,2.684244,11.91,0.14,12.06,99;
500000,9.417944,0.003285,2.697820,11.96,0.17,12.15,99;
500000,9.346802,0.003218,2.689912,11.88,0.17,12.06,99;
500000,9.364553,0.003296,2.694884,11.87,0.20,12.09,99;
500000,9.417618,0.003256,2.695602,11.90,0.23,12.15,99;
500000,9.416319,0.003248,2.698623,11.92,0.21,12.14,99;
500000,9.362292,0.003329,2.683676,11.86,0.20,12.07,99;
500000,9.403034,0.003302,2.702471,11.91,0.21,12.14,99;
500000,9.390057,0.003340,2.695646,11.91,0.19,12.11,99;
500000,9.348030,0.003020,2.690999,11.88,0.17,12.07,99;
500000,9.420492,0.003235,2.705700,12.00,0.14,12.16,99;
500000,9.418823,0.003232,2.699380,11.97,0.16,12.15,99;
500000,9.420211,0.003296,2.701361,11.94,0.20,12.15,99;
500000,9.415525,0.003299,2.705285,11.94,0.19,12.15,99;
500000,9.442758,0.003184,2.693211,11.95,0.20,12.17,99;
500000,9.340157,0.003104,2.680257,11.79,0.24,12.05,99;
500000,9.400228,0.003163,2.700940,11.87,0.24,12.13,99;
500000,9.408543,0.003094,2.696636,12.00,0.12,12.13,99;
500000,9.436617,0.003360,2.699852,11.80,0.36,12.16,99;
500000,9.363314,0.002984,2.681824,11.80,0.26,12.07,99;
500000,9.340316,0.003122,2.681943,11.81,0.23,12.05,99;
500000,9.422528,0.003172,2.695201,11.99,0.14,12.15,99;
500000,9.409824,0.003239,2.699397,11.93,0.19,12.13,99;
