Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
6000,24.533713,55.220513,1.384819,32.528698,0.08,0.08,82.72,0;
6000,24.577540,55.200985,1.384695,32.511331,0.10,0.06,80.77,0;
6000,24.637007,55.439060,1.383446,32.778318,0.11,0.06,81.06,0;
6000,24.593462,55.239398,1.385992,32.525522,0.08,0.07,80.82,0;
6000,24.600788,55.243380,1.386449,32.525060,0.11,0.06,80.84,0;
6000,24.655557,55.472080,1.384135,32.737632,0.10,0.06,81.09,0;
6000,24.640259,55.313042,1.385388,32.630329,0.10,0.07,80.92,0;
6000,24.694940,55.359404,1.393229,32.646146,0.13,0.04,81.10,0;
6000,24.567787,55.187402,1.385944,32.551662,0.11,0.05,80.74,0;
6000,24.605162,55.219813,1.386055,32.519428,0.09,0.06,80.78,0;
6000,24.549700,55.433164,1.386026,32.734124,0.10,0.04,80.95,0;
6000,24.622848,55.417668,1.385888,32.633658,0.11,0.05,81.00,0;
6000,24.642183,55.262814,1.384154,32.522130,0.07,0.09,80.89,0;
6000,24.590697,55.361385,1.390919,32.614564,0.07,0.09,80.88,0;
6000,24.715596,55.511467,1.387206,32.753363,0.09,0.08,81.21,0;
6000,24.601282,55.312771,1.384036,32.618208,0.08,0.07,80.88,0;
6000,24.667551,55.399000,1.391496,32.646466,0.11,0.04,81.01,0;
6000,24.579496,55.480613,1.384309,32.746266,0.10,0.05,81.01,0;
6000,24.639062,55.282680,1.391952,32.557158,0.09,0.09,80.92,0;
6000,24.674054,55.369612,1.386253,32.618008,0.10,0.05,80.93,0;
6000,24.606464,55.264556,1.390612,32.618302,0.12,0.05,80.85,0;
6000,24.618860,55.252596,1.392925,32.600332,0.08,0.07,80.90,0;
6000,24.670542,55.206936,1.386608,32.549244,0.05,0.11,80.89,0;
6000,24.632249,55.260311,1.388287,32.557629,0.09,0.06,80.85,0;
6000,24.656120,55.331584,1.387849,32.573255,0.11,0.05,80.98,0;
