Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
10000,0.036140,0.204764,0.010494,0.000238,0.17,0.10,1.20,23;
10000,0.036358,0.201904,0.010523,0.000246,0.11,0.04,5.47,3;
10000,0.035904,0.224339,0.010808,0.000244,0.11,0.05,1.23,13;
10000,0.035898,0.233999,0.011537,0.000263,0.17,0.07,1.13,22;
10000,0.036002,0.203276,0.010603,0.000252,0.23,0.03,1.22,21;
10000,0.036114,0.202131,0.010972,0.000237,0.23,0.13,1.16,32;
10000,0.036240,0.205920,0.010612,0.000237,0.11,0.07,2.75,6;
10000,0.035917,0.203745,0.010922,0.000238,0.10,0.06,1.20,14;
10000,0.035890,0.237069,0.011982,0.000244,0.30,0.08,1.21,31;
10000,0.036752,0.201667,0.010469,0.000241,0.28,0.08,1.21,30;
10000,0.036579,0.201516,0.010522,0.000236,0.26,0.11,1.13,33;
10000,0.047825,0.203557,0.010692,0.000244,0.22,0.04,1.20,22;
10000,0.036978,0.202965,0.010511,0.000245,0.20,0.07,1.20,22;
10000,0.035810,0.202637,0.010436,0.000242,0.21,0.06,1.23,22;
10000,0.035819,0.201896,0.010559,0.000244,0.20,0.07,1.21,23;
10000,0.035882,0.202958,0.010447,0.000250,0.09,0.06,1.21,13;
10000,0.036276,0.236882,0.012585,0.000272,0.18,0.08,1.22,22;
10000,0.036159,0.201091,0.010975,0.000246,0.31,0.07,1.18,32;
10000,0.036140,0.238933,0.011966,0.000243,0.14,0.10,1.23,20;
10000,0.035956,0.202007,0.010376,0.000245,0.15,0.12,1.15,23;
10000,0.036366,0.201945,0.010434,0.000241,0.31,0.08,1.21,32;
10000,0.036438,0.204018,0.010652,0.000245,0.18,0.08,1.18,23;
10000,0.036014,0.204330,0.010745,0.000244,0.27,0.11,1.23,31;
10000,0.035812,0.207373,0.010760,0.000243,0.30,0.07,1.18,31;
10000,0.036391,0.205346,0.010421,0.000249,0.17,0.10,1.20,23;
