verteces,init,finalize,tarjan,user,system,elapsed,pCPU
204800,0.878954,0.013280,0.962279,1.75,0.11,1.87,99;
204800,0.877032,0.013220,0.964168,1.79,0.08,1.87,99;
204800,0.878994,0.013187,0.961899,1.79,0.06,1.87,99;
204800,0.874851,0.013552,0.969483,1.79,0.08,1.87,99;
204800,0.870628,0.013159,0.966290,1.76,0.08,1.86,99;
204800,0.876694,0.013228,0.963904,1.70,0.15,1.87,99;
204800,0.876470,0.013266,0.964573,1.80,0.05,1.87,99;
204800,0.880301,0.013573,0.966491,1.83,0.03,1.87,99;
204800,0.870416,0.013240,0.966526,1.76,0.09,1.86,99;
204800,0.874530,0.013501,0.969632,1.80,0.06,1.87,99;
204800,0.875740,0.013297,0.973339,1.83,0.03,1.88,99;
204800,0.875727,0.013251,0.972277,1.77,0.09,1.87,99;
204800,0.870219,0.013216,0.961957,1.72,0.14,1.86,99;
204800,0.875230,0.013288,0.969089,1.78,0.09,1.87,99;
204800,0.876667,0.014567,0.964338,1.81,0.06,6.61,28;
204800,0.918269,0.014746,0.970962,1.80,0.12,7.98,24;
204800,0.907516,0.013213,0.961625,1.82,0.06,1.90,99;
204800,0.906734,0.013352,0.970806,1.80,0.09,1.90,99;
204800,0.876598,0.013225,0.964289,1.84,0.03,1.87,99;
204800,0.870082,0.013214,0.962110,1.78,0.08,1.86,99;
204800,0.870053,0.013212,0.962208,1.81,0.05,1.86,99;
204800,0.881778,0.013364,0.971047,1.81,0.07,1.88,99;
204800,0.870275,0.013178,0.961152,1.79,0.07,1.86,99;
204800,0.881704,0.013312,0.970481,1.81,0.05,1.88,99;
204800,0.880824,0.013574,0.967637,1.78,0.08,1.87,99;
