verteces,init,finalize,tarjan,user,system,elapsed,pCPU
10000,0.085824,0.000740,0.059567,0.14,0.00,0.15,99;
10000,0.077141,0.000553,0.040481,0.10,0.01,0.12,100;
10000,0.077772,0.000550,0.040425,0.12,0.00,0.12,98;
10000,0.077316,0.000552,0.040358,0.11,0.00,0.12,99;
10000,0.078356,0.000558,0.040195,0.12,0.00,0.12,100;
10000,0.076413,0.000558,0.040054,0.11,0.01,0.12,99;
10000,0.077118,0.000563,0.041073,0.12,0.00,0.12,99;
10000,0.076690,0.000604,0.040128,0.12,0.00,0.12,96;
10000,0.077539,0.000557,0.040515,0.12,0.00,0.12,99;
10000,0.077042,0.000556,0.040115,0.12,0.00,0.12,99;
10000,0.085416,0.000679,0.053290,0.13,0.00,0.14,99;
10000,0.077291,0.000563,0.040448,0.12,0.00,0.12,100;
10000,0.077507,0.000558,0.040651,0.11,0.01,0.12,97;
10000,0.077092,0.000556,0.040569,0.12,0.00,0.12,100;
10000,0.077309,0.000558,0.040474,0.11,0.00,0.12,99;
10000,0.076918,0.000553,0.040537,0.11,0.00,0.12,99;
10000,0.076956,0.000560,0.040197,0.11,0.01,0.12,99;
10000,0.077191,0.000557,0.040634,0.12,0.00,0.12,98;
10000,0.077310,0.000558,0.040326,0.12,0.00,0.12,100;
10000,0.077794,0.000553,0.040832,0.11,0.01,0.12,98;
10000,0.082088,0.000717,0.059590,0.13,0.00,0.14,99;
10000,0.077585,0.000560,0.040450,0.11,0.00,0.12,99;
10000,0.077410,0.000562,0.040483,0.11,0.00,0.12,99;
10000,0.076562,0.000549,0.040366,0.12,0.00,0.12,99;
10000,0.076991,0.000559,0.040595,0.12,0.00,0.12,100;
