verteces,init,finalize,tarjan,user,system,elapsed,pCPU
1000000,1.604579,0.005852,3.478165,4.91,0.20,5.11,99;
1000000,1.611728,0.005427,3.493231,4.94,0.18,5.14,99;
1000000,1.603998,0.006522,3.479237,4.87,0.23,5.12,99;
1000000,1.611272,0.011330,3.494176,4.94,0.21,9.79,52;
1000000,1.603149,0.004707,3.494859,4.92,0.19,5.31,96;
1000000,1.639180,0.005902,3.525377,4.98,0.20,5.20,99;
1000000,1.615427,0.011439,3.521156,5.00,0.19,7.74,67;
1000000,1.611267,0.011433,3.490261,4.93,0.21,7.65,67;
1000000,1.617650,0.006500,3.526212,4.94,0.23,5.44,95;
1000000,1.637320,0.011356,3.494126,4.98,0.19,7.74,66;
1000000,1.628772,0.006528,3.491426,4.91,0.23,5.15,99;
1000000,1.604240,0.006477,3.482119,4.93,0.17,5.12,99;
1000000,1.611383,0.006502,3.488924,4.91,0.22,5.14,99;
1000000,1.611085,0.006389,3.487691,4.97,0.16,5.13,99;
1000000,1.611673,0.006537,3.488473,4.96,0.16,5.13,99;
1000000,1.614649,0.006545,3.522580,4.97,0.19,5.17,99;
1000000,1.604727,0.006458,3.492491,4.90,0.22,5.13,99;
1000000,1.603832,0.006427,3.482156,4.94,0.17,5.12,99;
1000000,1.603568,0.006297,3.479496,4.86,0.24,5.11,99;
1000000,1.611677,0.006319,3.494933,4.93,0.21,5.14,99;
1000000,1.612235,0.006554,3.506791,4.97,0.17,5.15,99;
1000000,1.612009,0.006519,3.495939,4.92,0.21,5.14,99;
1000000,1.611669,0.006571,3.489507,4.89,0.23,5.13,99;
1000000,1.603639,0.006299,3.484438,4.90,0.22,5.12,99;
1000000,1.603684,0.006238,3.477526,4.81,0.30,5.11,99;
