Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
10000,0.036484,0.214199,0.010458,0.000236,0.20,0.06,1.19,22;
10000,0.036253,0.215846,0.010638,0.000247,0.11,0.06,1.16,15;
10000,0.056901,0.231720,0.011879,0.000242,0.06,0.08,5.51,2;
10000,0.035937,0.213774,0.010561,0.000230,0.11,0.07,5.63,3;
10000,0.036893,0.214658,0.010621,0.000243,0.30,0.07,1.21,31;
10000,0.035903,0.214858,0.010622,0.000241,0.34,0.04,1.18,32;
10000,0.036020,0.214420,0.010577,0.000248,0.28,0.10,1.20,32;
10000,0.036084,0.213775,0.010453,0.000239,0.22,0.06,1.17,24;
10000,0.035872,0.213389,0.010431,0.000241,0.20,0.07,1.20,23;
10000,0.036145,0.213711,0.010525,0.000240,0.20,0.07,1.15,23;
10000,0.035930,0.214144,0.010415,0.000241,0.11,0.05,2.71,6;
10000,0.036295,0.215068,0.010415,0.000243,0.24,0.12,1.19,30;
10000,0.035936,0.250712,0.011417,0.000261,0.12,0.04,1.16,14;
10000,0.035532,0.215220,0.010379,0.000238,0.18,0.07,1.22,21;
10000,0.035828,0.246625,0.012543,0.000261,0.20,0.07,1.15,23;
10000,0.035928,0.216826,0.010497,0.000242,0.12,0.04,1.19,14;
10000,0.036000,0.248616,0.012602,0.000246,0.10,0.07,1.21,14;
10000,0.036279,0.212425,0.010455,0.000241,0.32,0.05,1.15,33;
10000,0.057951,0.223601,0.011269,0.000246,0.29,0.08,1.19,32;
10000,0.036345,0.212846,0.010360,0.000248,0.22,0.05,1.16,24;
10000,0.049206,0.212957,0.010358,0.000245,0.10,0.05,1.19,14;
10000,0.035857,0.214734,0.010412,0.000244,0.12,0.04,1.15,14;
10000,0.036679,0.214133,0.010518,0.000254,0.17,0.10,1.20,22;
10000,0.035789,0.214650,0.010401,0.000242,0.10,0.06,1.17,14;
10000,0.035860,0.215845,0.010430,0.000241,0.19,0.10,1.23,23;
