Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
10000,0.035916,0.200176,0.010495,0.000248,0.10,0.05,1.16,13;
10000,0.035862,0.200138,0.010562,0.000250,0.18,0.09,5.30,5;
10000,0.036008,0.203490,0.010821,0.000242,0.30,0.08,1.21,32;
10000,0.035991,0.202842,0.010924,0.000246,0.07,0.08,3.76,4;
10000,0.036458,0.202263,0.010702,0.000247,0.31,0.08,1.26,31;
10000,0.036519,0.200852,0.010555,0.000254,0.20,0.07,1.18,23;
10000,0.036820,0.234630,0.011977,0.000241,0.10,0.07,1.24,13;
10000,0.035787,0.199479,0.010543,0.000244,0.38,0.11,1.21,41;
10000,0.036965,0.203783,0.010447,0.000250,0.19,0.08,1.18,23;
10000,0.036350,0.205751,0.011033,0.000242,0.19,0.08,1.16,23;
10000,0.056792,0.216191,0.012813,0.000248,0.22,0.03,1.23,20;
10000,0.035679,0.203385,0.010464,0.000241,0.19,0.07,1.10,24;
10000,0.043469,0.200294,0.010591,0.000249,0.06,0.09,2.75,5;
10000,0.036099,0.241980,0.011629,0.000245,0.30,0.09,1.24,31;
10000,0.036343,0.206311,0.010915,0.000237,0.30,0.08,1.19,32;
10000,0.036735,0.201491,0.010438,0.000244,0.31,0.07,1.22,31;
10000,0.036031,0.204282,0.010463,0.000245,0.10,0.06,1.14,15;
10000,0.053741,0.202166,0.010545,0.000242,0.31,0.07,1.21,31;
10000,0.035785,0.212760,0.010418,0.000244,0.07,0.10,1.20,14;
10000,0.036134,0.201441,0.010426,0.000240,0.10,0.04,1.15,12;
10000,0.036160,0.213865,0.010443,0.000246,0.16,0.09,1.16,21;
10000,0.036275,0.203415,0.010953,0.000245,0.20,0.06,1.21,22;
10000,0.036428,0.203579,0.010847,0.000248,0.27,0.10,1.16,32;
10000,0.036497,0.202503,0.010472,0.000246,0.08,0.07,1.22,13;
10000,0.036222,0.200797,0.010431,0.000239,0.22,0.05,1.18,23;
