Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
10000,0.036388,0.200027,0.010432,0.000242,0.22,0.03,1.18,21;
10000,0.036769,0.234822,0.011951,0.000263,0.06,0.07,1.15,12;
10000,0.036017,0.204357,0.010568,0.000242,0.10,0.07,5.35,3;
10000,0.036013,0.202222,0.010549,0.000240,0.18,0.08,1.14,23;
10000,0.036400,0.204074,0.010491,0.000246,0.25,0.03,1.19,23;
10000,0.036422,0.201826,0.010667,0.000244,0.10,0.05,1.14,13;
10000,0.036438,0.205826,0.010928,0.000243,0.18,0.09,1.22,22;
10000,0.036266,0.202019,0.010411,0.000245,0.20,0.08,1.18,24;
10000,0.038097,0.204860,0.010745,0.000244,0.17,0.08,1.19,22;
10000,0.036071,0.202212,0.010485,0.000235,0.07,0.08,1.11,15;
10000,0.042309,0.201209,0.010412,0.000241,0.28,0.07,1.21,29;
10000,0.036021,0.203953,0.010940,0.000237,0.31,0.07,1.13,34;
10000,0.038629,0.202679,0.010436,0.000245,0.19,0.08,1.20,22;
10000,0.035941,0.202037,0.010542,0.000253,0.20,0.07,1.13,24;
10000,0.043816,0.204015,0.010854,0.000236,0.18,0.07,1.19,21;
10000,0.036431,0.201215,0.010707,0.000238,0.30,0.09,1.17,33;
10000,0.036209,0.202009,0.010842,0.000243,0.23,0.04,1.21,22;
10000,0.035963,0.202627,0.010506,0.000245,0.26,0.10,1.16,32;
10000,0.036053,0.205165,0.010511,0.000236,0.20,0.07,1.23,22;
10000,0.035817,0.202122,0.010464,0.000245,0.05,0.11,1.13,14;
10000,0.059621,0.204208,0.010765,0.000241,0.08,0.06,1.18,12;
10000,0.036093,0.219191,0.010950,0.000245,0.10,0.06,1.18,14;
10000,0.036149,0.205342,0.010682,0.000244,0.25,0.14,1.24,31;
10000,0.036056,0.237351,0.012676,0.000262,0.20,0.06,1.20,22;
10000,0.035998,0.203086,0.010392,0.000237,0.12,0.02,1.10,13;
