verteces,init,finalize,tarjan,user,system,elapsed,pCPU
819200,3.478095,0.060549,3.849973,7.11,0.32,8.38,88;
819200,3.515691,0.050869,3.849070,7.08,0.38,7.49,99;
819200,3.511811,0.060874,3.850533,7.16,0.32,16.44,45;
819200,3.497310,0.056724,3.878061,7.07,0.42,10.20,73;
819200,3.480674,0.050756,3.866102,7.11,0.32,7.47,99;
819200,3.498216,0.061173,3.874925,7.21,0.28,8.42,89;
819200,3.481054,0.050895,3.867210,7.13,0.31,7.47,99;
819200,3.502852,0.061676,3.848139,7.12,0.34,8.43,88;
819200,3.515759,0.050757,3.853000,7.08,0.38,7.49,99;
819200,3.502053,0.063255,3.890715,7.14,0.36,8.41,89;
819200,3.558952,0.051240,3.877070,7.19,0.33,7.56,99;
819200,3.530740,0.055655,3.857260,7.12,0.38,8.34,90;
819200,3.525202,0.051097,3.881962,7.17,0.33,7.53,99;
819200,3.504248,0.061520,3.855381,7.15,0.32,8.38,89;
819200,3.508267,0.056187,3.868855,7.14,0.35,10.17,73;
819200,3.496576,0.056141,3.874534,7.14,0.35,10.19,73;
819200,3.526637,0.051506,3.858826,7.09,0.38,7.51,99;
819200,3.521264,0.051028,3.879661,7.13,0.34,7.53,99;
819200,3.483776,0.050729,3.865392,7.07,0.35,7.47,99;
819200,3.505743,0.060811,3.858342,7.18,0.29,8.17,91;
819200,3.501318,0.051195,3.890551,7.24,0.23,7.52,99;
819200,3.483012,0.050880,3.866905,7.21,0.22,7.47,99;
819200,3.494950,0.061755,3.878363,7.15,0.33,8.70,86;
819200,3.506257,0.054646,3.859181,7.16,0.32,10.15,73;
819200,3.495452,0.057520,3.881643,7.09,0.40,12.87,58;
