Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
6000,24.972857,42.117204,2.082607,32.574758,0.10,0.15,90.68,0;
6000,25.068755,43.363826,2.095299,32.724944,0.08,0.08,96.74,0;
6000,24.935390,44.301016,2.080509,32.659460,0.10,0.06,91.73,0;
6000,25.096767,44.659951,2.110688,33.057087,0.08,0.08,92.43,0;
6000,26.132714,45.816766,2.306274,34.077183,0.10,0.08,91.35,0;
6000,27.051945,45.043512,2.312330,34.212920,0.09,0.08,98.65,0;
6000,27.567458,46.921996,2.344374,34.540024,0.08,0.09,98.43,0;
6000,27.659268,49.063754,2.461656,34.938241,0.10,0.06,104.69,0;
6000,27.703401,46.519494,2.386815,35.142607,0.08,0.07,101.41,0;
6000,27.848957,48.168359,2.289643,35.199923,0.12,0.06,99.86,0;
6000,27.686057,48.280916,2.411420,34.960180,0.13,0.03,100.72,0;
6000,28.256251,45.103139,2.397736,35.401060,0.08,0.09,100.88,0;
6000,28.201068,47.857729,2.454043,35.301850,0.14,0.03,100.69,0;
6000,28.131009,47.294605,2.462675,35.273995,0.13,0.04,99.31,0;
6000,28.178658,47.424370,2.415419,35.525599,0.08,0.06,101.40,0;
6000,27.507883,47.777541,2.368190,35.272950,0.19,0.09,96.50,0;
6000,28.274304,44.311931,2.398595,35.643018,0.15,0.02,105.17,0;
6000,28.173661,46.142062,2.434538,35.031040,0.09,0.09,100.20,0;
6000,28.191659,48.171286,2.402857,35.563466,0.19,0.09,110.34,0;
6000,28.225118,47.448281,2.434414,35.487874,0.08,0.07,102.42,0;
6000,28.183818,47.864376,2.323704,35.369150,0.10,0.04,102.28,0;
6000,28.067251,48.432398,2.390156,35.558588,0.21,0.07,106.81,0;
6000,28.111856,47.799698,2.450246,35.096645,0.14,0.04,99.09,0;
6000,28.223611,48.065429,2.332842,35.390701,0.22,0.07,101.22,0;
6000,28.341474,47.865093,2.462194,35.467196,0.08,0.09,100.06,0;
