Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
1000000,0.901834,10.356585,1.197269,0.000000,0.07,0.08,16.60,0;
1000000,0.872415,10.511753,1.198535,0.000000,0.10,0.05,14.01,1;
1000000,0.943359,10.537459,1.202257,0.000000,0.10,0.05,17.74,0;
1000000,0.874855,10.413510,1.202531,0.000000,0.08,0.09,12.24,1;
1000000,0.883150,10.428715,1.210855,0.000000,0.10,0.04,14.37,1;
1000000,0.913325,10.364186,1.204713,0.000000,0.07,0.07,14.63,1;
1000000,0.914196,10.392583,1.209920,0.000000,0.06,0.08,12.25,1;
1000000,0.912438,10.302568,1.196596,0.000000,0.12,0.05,12.23,1;
1000000,0.909824,10.289484,1.194550,0.000000,0.12,0.05,13.81,1;
1000000,0.907772,10.338466,1.188186,0.000000,0.11,0.06,12.18,1;
1000000,0.873347,10.338166,1.202368,0.000000,0.12,0.04,14.48,1;
1000000,0.939057,10.302015,1.201275,0.000000,0.08,0.06,12.22,1;
1000000,0.897736,10.415650,1.198758,0.000000,0.10,0.05,12.28,1;
1000000,0.874766,10.466520,1.195702,0.000000,0.11,0.04,12.30,1;
1000000,0.870932,10.310552,1.191341,0.000000,0.10,0.07,12.16,1;
1000000,0.871664,10.410850,1.189636,0.000000,0.07,0.06,12.22,1;
1000000,0.873282,10.307545,1.202767,0.000000,0.10,0.06,12.15,1;
1000000,0.911942,10.333906,1.201151,0.000000,0.10,0.06,12.22,1;
1000000,0.913354,10.326729,1.196320,0.000000,0.12,0.04,12.22,1;
1000000,0.870316,10.328750,1.201220,0.000000,0.09,0.08,12.16,1;
1000000,0.870413,10.291896,1.196600,0.000000,0.12,0.05,12.16,1;
1000000,0.911702,10.667151,1.203038,0.000000,0.09,0.06,14.59,1;
1000000,0.890108,10.449569,1.204201,0.000000,0.14,0.04,14.64,1;
1000000,0.914329,10.375818,1.208665,0.000000,0.13,0.04,12.25,1;
1000000,0.875282,10.318280,1.201440,0.000000,0.10,0.06,12.13,1;
