Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
51200,0.119935,0.783353,0.069685,0.049271,0.15,0.02,1.99,8;
51200,0.123834,0.736782,0.070428,0.048757,0.08,0.06,1.94,8;
51200,0.122150,0.659559,0.069195,0.049002,0.12,0.05,2.36,7;
51200,0.119582,0.809419,0.070149,0.049379,0.12,0.05,2.10,8;
51200,0.120230,0.622220,0.069733,0.049055,0.11,0.03,2.14,7;
51200,0.119824,0.737452,0.069915,0.048423,0.10,0.04,2.34,6;
51200,0.120363,0.649081,0.070102,0.048931,0.11,0.04,2.51,6;
51200,0.121669,0.694382,0.070406,0.049052,0.08,0.06,2.10,7;
51200,0.121110,0.684487,0.070184,0.049154,0.12,0.04,2.17,7;
51200,0.120929,0.840877,0.069707,0.048914,0.12,0.04,2.34,7;
51200,0.120605,0.779309,0.070668,0.048375,0.10,0.05,2.15,7;
51200,0.120095,0.854005,0.070495,0.048204,0.09,0.08,2.17,8;
51200,0.121145,0.753219,0.070307,0.049224,0.08,0.06,2.01,7;
51200,0.119725,0.709266,0.070388,0.048667,0.08,0.08,4.82,3;
51200,0.120235,0.921759,0.070428,0.048252,0.10,0.06,2.30,7;
51200,0.119938,0.756815,0.070204,0.048107,0.09,0.07,2.07,7;
51200,0.119898,0.698045,0.070813,0.047458,0.08,0.09,2.06,8;
51200,0.119945,0.794666,0.070313,0.048715,0.09,0.05,2.31,6;
51200,0.120802,0.898643,0.070479,0.048294,0.08,0.07,2.14,7;
51200,0.120424,0.903522,0.069237,0.048402,0.13,0.04,2.52,6;
51200,0.120590,0.802123,0.070503,0.048112,0.09,0.05,2.34,6;
51200,0.121007,0.877079,0.071048,0.048858,0.09,0.05,2.26,6;
51200,0.120344,0.617413,0.070883,0.047634,0.14,0.02,2.11,8;
51200,0.122029,0.777088,0.071221,0.048175,0.38,0.09,2.34,20;
51200,0.119896,0.780047,0.070344,0.048346,0.08,0.08,4.90,3;
