Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
51200,0.120780,1.135855,0.070396,0.047853,0.13,0.03,2.11,7;
51200,0.121516,1.123490,0.070286,0.047887,0.15,0.03,2.12,8;
51200,0.121018,1.144398,0.070346,0.047270,0.05,0.10,2.11,7;
51200,0.120820,1.126212,0.070168,0.047847,0.09,0.08,14.86,1;
51200,0.119349,1.132216,0.070190,0.046959,0.07,0.08,4.76,3;
51200,0.121237,1.130191,0.070138,0.047162,0.11,0.05,2.12,7;
51200,0.123525,1.137048,0.070358,0.047208,0.09,0.06,2.10,7;
51200,0.125543,1.134515,0.070371,0.047987,0.07,0.07,2.11,7;
51200,0.126033,1.123795,0.070395,0.047691,0.11,0.05,2.10,7;
51200,0.120076,1.123427,0.070135,0.047333,0.09,0.06,2.11,7;
51200,0.119558,1.141050,0.070435,0.047408,0.10,0.07,2.12,8;
51200,0.122642,1.127712,0.070233,0.047648,0.09,0.07,2.12,7;
51200,0.121588,1.139816,0.070359,0.048148,0.10,0.05,2.11,7;
51200,0.121165,1.136738,0.070623,0.048226,0.07,0.08,2.12,7;
51200,0.124592,1.123481,0.070266,0.047091,0.08,0.08,2.11,8;
51200,0.120075,1.144490,0.070824,0.047743,0.08,0.07,2.13,7;
51200,0.120940,1.145641,0.070398,0.047809,0.07,0.07,4.00,3;
51200,0.120245,1.138488,0.070573,0.046924,0.09,0.06,2.12,7;
51200,0.124259,1.148227,0.070379,0.047963,0.12,0.05,2.14,8;
51200,0.119466,1.133340,0.070273,0.047274,0.08,0.06,2.11,7;
51200,0.119894,1.124297,0.070251,0.047475,0.10,0.07,2.12,8;
51200,0.119995,1.147535,0.070363,0.047027,0.11,0.05,2.13,7;
51200,0.121125,1.141811,0.070449,0.047543,0.07,0.08,2.12,7;
51200,0.122693,1.136735,0.070369,0.047796,0.11,0.03,2.10,6;
51200,0.124369,1.136092,0.070235,0.048001,0.14,0.02,2.13,7;
