Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
409600,0.958726,7.803770,0.818312,0.377419,0.09,0.06,13.69,1;
409600,0.958859,9.011773,0.815779,0.378207,0.10,0.06,14.26,1;
409600,0.959476,7.906584,0.821775,0.379755,0.12,0.01,13.43,1;
409600,0.997486,7.420189,0.819026,0.377281,0.08,0.07,13.92,1;
409600,0.955933,8.808612,0.814447,0.381662,0.08,0.08,16.45,0;
409600,0.996819,9.405797,0.816620,0.380123,0.12,0.04,13.87,1;
409600,0.957316,8.685930,0.816615,0.376856,0.08,0.08,14.59,1;
409600,0.953510,8.265054,0.817378,0.378494,0.09,0.06,14.60,1;
409600,0.956739,8.739710,0.814190,0.381725,0.09,0.07,16.31,1;
409600,1.001892,6.792944,0.819697,0.381913,0.07,0.10,14.64,1;
409600,0.959489,8.476630,0.811348,0.379454,0.10,0.06,14.56,1;
409600,0.955733,9.063509,0.819812,0.381574,0.09,0.07,15.95,1;
409600,0.957684,8.952553,0.823885,0.377395,0.11,0.06,12.92,1;
409600,0.957220,8.737735,0.816978,0.381335,0.06,0.10,14.97,1;
409600,0.956921,8.704216,0.815848,0.380284,0.08,0.07,15.02,1;
409600,0.970470,8.043138,0.814413,0.390963,0.09,0.06,15.54,1;
409600,0.956648,8.277400,0.817657,0.379010,0.06,0.10,15.89,1;
409600,0.958846,9.263259,0.817628,0.377038,0.11,0.04,13.18,1;
409600,0.963730,7.933034,0.821440,0.375463,0.10,0.06,14.77,1;
409600,0.960003,10.047809,0.822681,0.375753,0.10,0.04,14.63,0;
409600,0.996501,9.978572,0.820212,0.381388,0.10,0.05,16.28,0;
409600,0.973172,8.890960,0.820992,0.397705,0.10,0.04,19.01,0;
409600,0.958225,8.188604,0.824040,0.392453,0.12,0.05,16.27,1;
409600,0.955954,8.574101,0.819041,0.380852,0.11,0.04,16.76,0;
409600,0.957504,7.631489,0.825508,0.380569,0.08,0.06,14.30,1;
