verteces,init,finalize,tarjan,user,system,elapsed,pCPU
819200,3.539494,0.055783,3.856592,7.16,0.34,10.21,73;
819200,3.534344,0.055902,3.875184,7.11,0.40,12.91,58;
819200,3.525700,0.054853,3.875147,7.17,0.35,12.87,58;
819200,3.532435,0.050457,3.891621,7.23,0.27,7.56,99;
819200,3.507095,0.050299,3.864418,7.12,0.34,8.18,91;
819200,3.586343,0.051102,3.874038,7.28,0.26,7.58,99;
819200,3.519458,0.055941,3.858762,7.19,0.30,8.36,89;
819200,3.519089,0.055030,3.873072,7.14,0.36,12.85,58;
819200,3.506404,0.055641,3.858661,7.09,0.38,8.02,93;
819200,3.479200,0.060275,3.847324,7.17,0.26,8.16,91;
819200,3.512792,0.050718,3.850154,7.07,0.37,7.49,99;
819200,3.512623,0.061567,3.849037,7.10,0.37,8.42,88;
819200,3.551562,0.051235,3.884580,7.20,0.32,7.56,99;
819200,3.519455,0.056816,3.877380,7.16,0.35,8.35,90;
819200,3.481580,0.050875,3.865758,7.07,0.36,7.47,99;
819200,3.514053,0.050662,3.851089,7.09,0.35,7.49,99;
819200,3.499053,0.051317,3.872504,7.09,0.36,7.50,99;
819200,3.505818,0.060042,3.858774,7.13,0.35,8.97,83;
819200,3.527310,0.051802,3.861312,7.09,0.38,7.52,99;
819200,3.515741,0.060703,3.850548,7.13,0.34,8.40,89;
819200,3.480675,0.054596,3.864055,7.12,0.32,10.13,73;
819200,3.505232,0.054742,3.857242,7.11,0.36,10.18,73;
819200,3.499838,0.051234,3.891602,7.18,0.29,7.52,99;
819200,3.496904,0.059965,3.873215,7.15,0.32,8.99,83;
819200,3.504707,0.050832,3.858510,7.14,0.30,7.49,99;
