Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
819200,2.045520,19.683779,1.803725,0.771259,0.40,0.07,35.49,1;
819200,2.001914,18.451514,1.798270,0.770215,0.10,0.02,31.18,0;
819200,1.916744,18.147079,1.800723,0.758508,0.08,0.07,31.13,0;
819200,1.916293,19.281924,1.797506,0.758832,0.11,0.04,28.73,0;
819200,1.919192,18.600465,1.797532,0.758774,0.10,0.02,30.57,0;
819200,1.912293,20.222318,1.799074,0.754153,0.09,0.06,33.95,0;
819200,1.916286,19.685018,1.799263,0.757671,0.08,0.08,30.21,0;
819200,1.907605,19.681668,1.799470,0.761522,0.09,0.05,31.32,0;
819200,2.012138,19.259284,1.803278,0.760952,0.37,0.08,29.85,1;
819200,1.955737,22.798725,1.802166,0.772996,0.07,0.07,36.22,0;
819200,2.003690,19.568131,1.792175,0.772882,0.09,0.06,32.94,0;
819200,1.943802,21.140540,1.799360,0.766531,0.39,0.06,32.87,1;
819200,1.910243,18.798455,1.812705,0.755230,0.08,0.04,31.51,0;
819200,1.915725,23.711361,1.812916,0.761709,0.09,0.04,32.50,0;
819200,1.947887,19.716674,1.824025,0.776581,0.07,0.07,32.60,0;
819200,1.946984,20.032654,1.819547,0.765609,0.10,0.04,29.49,0;
819200,1.932762,20.558337,1.811424,0.781897,0.07,0.06,31.82,0;
819200,1.927481,21.403526,1.842292,0.796938,0.11,0.02,34.95,0;
819200,1.912894,20.112766,1.844277,0.772378,0.09,0.04,31.62,0;
819200,1.971060,21.458643,1.856663,0.780974,0.05,0.10,33.61,0;
819200,1.919905,20.234830,1.821298,0.758261,0.07,0.07,28.67,0;
819200,1.911381,19.412967,1.822444,0.759721,0.09,0.03,28.41,0;
819200,1.912863,19.336112,1.864151,0.774944,0.10,0.05,29.83,0;
819200,1.930078,18.028536,1.830460,0.784926,0.06,0.06,28.65,0;
819200,1.936576,19.705406,1.860169,0.800548,0.10,0.03,30.93,0;
