verteces,init,finalize,tarjan,user,system,elapsed,pCPU
6000,59.931085,0.001792,20.013807,77.96,2.17,97.52,82;
6000,60.093186,0.001863,19.973835,77.81,2.43,100.61,79;
6000,59.601963,0.001785,19.903891,77.45,2.22,91.02,87;
6000,59.545993,0.002065,19.897565,77.45,2.17,93.32,85;
6000,59.513143,0.001652,19.897906,77.11,2.47,94.80,83;
6000,59.626302,0.002081,19.935638,77.23,2.50,96.58,82;
6000,59.930361,0.001770,20.023882,77.55,2.58,98.95,80;
6000,59.409583,0.001767,19.886925,77.28,2.19,92.64,85;
6000,59.944775,0.001758,20.022317,77.60,2.55,102.20,78;
6000,60.078114,0.001754,19.947592,77.61,2.59,96.78,82;
6000,59.623835,0.001786,19.892555,77.40,2.29,96.11,82;
6000,59.736465,0.001926,19.895806,77.63,2.18,98.31,81;
6000,59.796773,0.001856,20.014221,77.40,2.59,94.52,84;
6000,59.381618,0.001849,19.910660,77.03,2.43,93.24,85;
6000,59.603470,0.001637,19.914733,77.08,2.61,98.88,80;
6000,59.906372,0.001945,19.936874,77.64,2.38,93.00,86;
6000,59.920227,0.001695,19.952255,77.61,2.44,98.49,81;
6000,59.979509,0.001896,19.972460,77.62,2.50,100.50,79;
6000,59.452608,0.001854,19.890072,77.18,2.32,95.50,83;
6000,59.956619,0.001641,19.900784,77.50,2.53,95.39,83;
6000,59.934062,0.001730,20.035840,77.63,2.51,94.48,84;
6000,59.567027,0.001904,20.035136,77.35,2.43,92.85,85;
6000,59.925362,0.001962,19.889696,77.38,2.61,97.98,81;
6000,59.696009,0.001988,19.935218,77.46,2.34,103.60,77;
6000,59.812084,0.001841,19.935208,77.40,2.53,94.33,84;
