Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
51200,0.120862,1.179793,0.073517,0.047200,0.10,0.06,2.23,7;
51200,0.121013,1.157396,0.070509,0.047804,0.06,0.10,2.15,7;
51200,0.123042,1.138112,0.070415,0.047079,0.10,0.05,2.11,7;
51200,0.119971,1.127053,0.070343,0.047320,0.11,0.06,2.14,8;
51200,0.119594,1.139551,0.070316,0.047367,0.09,0.07,2.13,7;
51200,0.119289,1.132393,0.070585,0.047027,0.12,0.03,2.12,7;
51200,0.122913,1.132435,0.070475,0.046721,0.09,0.05,2.10,7;
51200,0.122273,1.139778,0.070369,0.048495,0.15,0.01,2.13,7;
51200,0.120014,1.136627,0.070377,0.047530,0.12,0.04,2.11,7;
51200,0.120282,1.129946,0.070476,0.047441,0.13,0.04,2.12,8;
51200,0.121896,1.169250,0.070270,0.047327,0.11,0.05,2.16,7;
51200,0.120053,1.123627,0.070390,0.047440,0.12,0.05,2.12,8;
51200,0.122752,1.140499,0.070321,0.048084,0.09,0.07,2.13,7;
51200,0.121033,1.147961,0.070538,0.047821,0.10,0.06,2.09,8;
51200,0.121521,1.121872,0.070330,0.047789,0.09,0.08,2.11,8;
51200,0.120015,1.128856,0.070575,0.047541,0.11,0.05,13.36,1;
51200,0.122233,1.136996,0.070663,0.048196,0.09,0.05,2.12,7;
51200,0.121864,1.127335,0.070686,0.047685,0.10,0.04,2.10,7;
51200,0.120374,1.127410,0.070383,0.047712,0.11,0.04,2.12,7;
51200,0.122095,1.126705,0.070253,0.047880,0.10,0.05,2.10,7;
51200,0.120553,1.126707,0.070506,0.047223,0.05,0.11,2.13,8;
51200,0.121404,1.136540,0.070567,0.047233,0.07,0.06,2.10,6;
51200,0.127310,1.137249,0.070659,0.047804,0.12,0.04,2.12,7;
51200,0.119841,1.126642,0.070484,0.046903,0.12,0.05,2.12,8;
51200,0.121632,1.128098,0.070555,0.047505,0.13,0.02,2.11,7;
