Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
204800,0.494771,4.053623,0.365709,0.191942,0.08,0.08,8.18,1;
204800,0.480909,4.346923,0.366716,0.188699,0.12,0.04,15.17,1;
204800,0.480394,3.651317,0.366165,0.190454,0.07,0.08,6.53,2;
204800,0.482065,4.066711,0.365498,0.191938,0.09,0.07,6.83,2;
204800,0.483986,4.480204,0.367176,0.189728,0.11,0.04,8.67,1;
204800,0.481828,3.935563,0.364417,0.191192,0.04,0.11,7.02,2;
204800,0.481327,3.995665,0.364293,0.189229,0.08,0.08,6.94,2;
204800,0.480377,4.178333,0.365061,0.190749,0.11,0.06,8.39,2;
204800,0.484833,4.030985,0.365186,0.189973,0.11,0.05,6.34,2;
204800,0.488225,4.008278,0.366811,0.191978,0.08,0.07,8.22,1;
204800,0.505793,3.515326,0.362632,0.195245,0.13,0.04,6.51,2;
204800,0.479699,3.735258,0.362522,0.192879,0.10,0.06,7.51,2;
204800,0.477970,3.562252,0.368878,0.190792,0.13,0.03,8.27,1;
204800,0.479139,3.461924,0.365603,0.187549,0.10,0.07,6.74,2;
204800,0.478295,3.822557,0.364286,0.188274,0.10,0.05,14.91,1;
204800,0.478994,3.518829,0.366977,0.190262,0.11,0.05,6.21,2;
204800,0.478325,4.021651,0.365372,0.191492,0.13,0.02,6.89,2;
204800,0.478883,4.050597,0.361929,0.192351,0.11,0.05,7.75,2;
204800,0.479003,3.568835,0.367496,0.188482,0.08,0.06,8.56,1;
204800,0.483671,3.664598,0.366377,0.188884,0.10,0.06,8.16,2;
204800,0.504431,3.923792,0.363679,0.192196,0.10,0.07,8.08,2;
204800,0.480942,3.759525,0.365372,0.189594,0.07,0.06,8.11,1;
204800,0.489556,3.806320,0.368631,0.195131,0.07,0.08,8.16,1;
204800,0.478378,3.837394,0.368914,0.191892,0.09,0.06,8.12,2;
204800,0.477939,3.340059,0.368769,0.188738,0.13,0.05,8.07,2;
