verteces,init,finalize,tarjan,user,system,elapsed,pCPU
500000,9.651392,0.002741,2.706477,12.20,0.17,12.39,99;
500000,9.370762,0.003233,2.684631,11.92,0.16,12.08,99;
500000,9.392101,0.003421,2.696507,11.90,0.20,12.12,99;
500000,9.356574,0.003386,2.693789,11.85,0.21,12.08,99;
500000,9.409508,0.002410,2.702961,11.95,0.18,12.15,99;
500000,9.327504,0.003284,2.691662,11.88,0.15,12.05,99;
500000,9.407694,0.003107,2.706215,11.93,0.20,12.14,99;
500000,9.396710,0.003405,2.706253,11.85,0.26,12.14,99;
500000,9.407726,0.002982,2.707177,11.91,0.22,12.15,99;
500000,9.322731,0.003303,2.680756,11.84,0.18,12.03,99;
500000,9.416806,0.003058,2.700399,11.92,0.21,12.15,99;
500000,9.412714,0.003368,2.694647,11.95,0.17,12.14,99;
500000,9.398839,0.003395,2.700515,11.93,0.18,12.13,99;
500000,9.421604,0.003301,2.705068,11.96,0.18,12.16,99;
500000,9.342087,0.003224,2.687581,11.76,0.28,12.06,99;
500000,9.412903,0.003285,2.697025,11.91,0.21,12.14,99;
500000,9.340096,0.003211,2.691905,11.87,0.19,12.06,99;
500000,9.383833,0.003188,2.682319,11.88,0.20,12.09,99;
500000,9.417393,0.003279,2.701926,11.91,0.22,12.15,99;
500000,9.334341,0.003204,2.692487,11.91,0.13,12.05,99;
500000,9.436424,0.003305,2.700467,11.98,0.17,12.17,99;
500000,9.427957,0.003353,2.700090,11.98,0.16,12.16,99;
500000,9.324668,0.003233,2.687318,11.78,0.24,12.04,99;
500000,9.406699,0.003238,2.715586,11.97,0.17,12.15,99;
500000,9.406293,0.003316,2.712138,11.97,0.16,12.15,99;
