Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
204800,0.479821,3.241745,0.367738,0.188896,0.16,0.09,5.41,4;
204800,0.514352,3.254204,0.364301,0.190062,0.10,0.06,6.29,2;
204800,0.490203,3.350429,0.378653,0.207728,0.17,0.11,11.29,2;
204800,0.478375,3.178182,0.381924,0.212458,0.21,0.06,6.19,4;
204800,0.476935,2.895657,0.375365,0.221419,0.18,0.10,8.10,3;
204800,0.489537,3.137700,0.373225,0.192657,0.17,0.09,8.11,3;
204800,0.478685,2.308252,0.373034,0.193564,0.14,0.12,5.39,5;
204800,0.481774,2.837421,0.365076,0.190217,0.06,0.09,7.87,2;
204800,0.479693,2.814299,0.377378,0.207235,0.20,0.07,6.14,4;
204800,0.479338,2.940173,0.386970,0.196587,0.14,0.02,5.82,2;
204800,0.485722,2.727328,0.384424,0.189225,0.18,0.08,6.62,4;
204800,0.480413,2.896767,0.368637,0.192614,0.18,0.06,5.79,4;
204800,0.480570,2.804642,0.383136,0.219925,0.08,0.08,13.66,1;
204800,0.479821,3.064144,0.380702,0.200837,0.18,0.08,5.72,4;
204800,0.486596,3.629415,0.390196,0.210299,0.15,0.10,6.52,3;
204800,0.479924,3.000343,0.366986,0.200722,0.12,0.04,5.40,3;
204800,0.493672,3.114097,0.385554,0.235588,0.11,0.06,5.56,3;
204800,0.485710,3.278281,0.411005,0.229953,0.10,0.07,6.76,2;
204800,0.478629,2.943974,0.376998,0.190086,0.13,0.03,5.75,2;
204800,0.482591,3.104819,0.366607,0.188642,0.10,0.05,5.42,3;
204800,0.482731,2.465907,0.373851,0.195395,0.22,0.05,5.51,5;
204800,0.499056,3.125368,0.364829,0.191021,0.22,0.06,5.97,4;
204800,0.482766,2.971711,0.375952,0.190943,0.18,0.07,8.44,3;
204800,0.495145,3.421323,0.383681,0.189717,0.21,0.07,8.15,3;
204800,0.485246,2.957624,0.371678,0.203257,0.23,0.04,8.12,3;
