verteces,init,finalize,tarjan,user,system,elapsed,pCPU
1000000,1.604066,0.006409,3.492739,4.90,0.22,5.13,99;
1000000,1.604302,0.006470,3.494190,4.95,0.18,5.13,99;
1000000,1.603180,0.006295,3.482211,4.88,0.22,5.12,99;
1000000,1.603032,0.006324,3.478718,4.96,0.14,5.12,99;
1000000,1.611318,0.005135,3.488974,4.90,0.22,5.14,99;
1000000,1.615091,0.011367,3.527414,4.94,0.24,6.75,76;
1000000,1.604421,0.006444,3.496555,4.89,0.24,5.25,97;
1000000,1.612131,0.006583,3.507976,4.83,0.32,5.15,99;
1000000,1.615044,0.005963,3.522273,4.99,0.17,5.17,99;
1000000,1.613779,0.006458,3.513165,5.00,0.15,5.16,99;
1000000,1.615354,0.006033,3.528244,4.98,0.18,5.18,99;
1000000,1.614042,0.006460,3.507618,4.93,0.21,5.16,99;
1000000,1.614378,0.006092,3.506745,4.95,0.19,5.16,99;
1000000,1.603274,0.006381,3.479344,4.83,0.27,5.12,99;
1000000,1.603871,0.006372,3.493876,4.94,0.17,5.13,99;
1000000,1.603751,0.005957,3.484140,4.92,0.19,5.12,99;
1000000,1.603390,0.006355,3.476863,4.94,0.16,5.11,99;
1000000,1.603253,0.006289,3.482086,4.94,0.16,5.12,99;
1000000,1.611319,0.006578,3.492574,4.90,0.23,5.14,99;
1000000,1.614769,0.006485,3.522677,5.01,0.16,5.17,99;
1000000,1.611866,0.006200,3.491606,4.92,0.20,5.13,99;
1000000,1.604111,0.005608,3.495445,4.96,0.16,5.13,99;
1000000,1.612285,0.006729,3.505163,4.94,0.19,5.15,99;
1000000,1.613701,0.006531,3.513909,4.87,0.27,5.16,99;
1000000,1.603129,0.006502,3.476117,4.91,0.19,5.11,99;
