Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
819200,1.909708,35.323545,1.805261,0.731138,0.10,0.03,43.48,0;
819200,1.935104,35.167676,1.808206,0.735973,0.07,0.06,40.47,0;
819200,1.937649,35.422501,1.802053,0.751952,0.07,0.06,38.47,0;
819200,1.920190,35.199109,1.800718,0.738669,0.11,0.01,38.24,0;
819200,1.910267,35.127646,1.807099,0.744027,0.10,0.03,38.14,0;
819200,1.926356,35.066958,1.805832,0.741557,0.07,0.06,38.09,0;
819200,1.926187,35.270260,1.803024,0.727938,0.08,0.05,38.30,0;
819200,1.918923,35.022263,1.806050,0.733532,0.08,0.05,38.03,0;
819200,1.909193,35.107627,1.796110,0.733762,0.07,0.05,38.34,0;
819200,1.906490,35.109106,1.808079,0.731983,0.07,0.05,38.15,0;
819200,1.907436,35.641554,1.807299,0.732590,0.12,0.01,40.92,0;
819200,1.959695,35.200831,1.808891,0.747584,0.09,0.04,38.28,0;
819200,1.915339,35.709896,1.803019,0.738032,0.08,0.05,38.72,0;
819200,1.908323,35.108787,1.808200,0.733681,0.07,0.06,38.15,0;
819200,2.015723,35.166547,1.807768,0.752027,0.09,0.05,40.68,0;
819200,1.927820,35.757434,1.807223,0.744763,0.10,0.04,39.04,0;
819200,1.920301,35.863402,1.808915,0.737019,0.09,0.04,40.50,0;
819200,1.912347,35.496395,1.807180,0.744611,0.07,0.07,38.53,0;
819200,1.910779,35.085282,1.806500,0.734216,0.10,0.03,38.09,0;
819200,1.925748,35.272764,1.806294,0.742878,0.09,0.06,38.34,0;
819200,1.923259,35.506123,1.802623,0.746076,0.09,0.07,40.98,0;
819200,1.915910,35.327879,1.805728,0.732292,0.10,0.03,38.37,0;
819200,1.907712,36.068485,1.811389,0.733711,0.06,0.07,39.09,0;
819200,1.933498,35.444648,1.809697,0.736919,0.09,0.04,40.87,0;
819200,1.909163,35.055284,1.798417,0.733684,0.09,0.04,38.06,0;
