Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
204800,0.480272,3.202685,0.368526,0.206757,0.06,0.10,8.21,2;
204800,0.492357,2.968476,0.374394,0.194372,0.21,0.06,6.21,4;
204800,0.479922,2.683748,0.365029,0.189949,0.12,0.05,15.57,1;
204800,0.477860,3.282915,0.372732,0.209187,0.20,0.05,6.54,4;
204800,0.483118,3.543621,0.372193,0.205456,0.12,0.05,6.45,2;
204800,0.479415,2.926742,0.374847,0.202117,0.07,0.06,5.76,2;
204800,0.477105,3.039630,0.377890,0.209674,0.19,0.08,5.57,4;
204800,0.477438,2.420361,0.366994,0.191288,0.21,0.06,8.06,3;
204800,0.481817,2.872211,0.368810,0.191219,0.10,0.06,8.09,2;
204800,0.498382,2.320322,0.375519,0.205513,0.20,0.07,8.13,3;
204800,0.480142,2.355882,0.370287,0.189419,0.22,0.05,5.42,4;
204800,0.476446,2.850519,0.368550,0.189581,0.10,0.05,5.71,2;
204800,0.493276,3.463181,0.366825,0.190765,0.10,0.06,5.65,2;
204800,0.500024,3.103945,0.367433,0.192477,0.12,0.04,8.09,2;
204800,0.483231,2.899484,0.386006,0.226750,0.11,0.06,10.77,1;
204800,0.484407,2.930393,0.374593,0.199553,0.12,0.05,5.44,3;
204800,0.480156,3.325118,0.371188,0.194396,0.11,0.05,8.54,2;
204800,0.478797,3.062291,0.374584,0.196145,0.11,0.05,8.09,2;
204800,0.505101,3.167008,0.382639,0.233604,0.21,0.06,8.10,3;
204800,0.477371,3.320354,0.382089,0.216726,0.18,0.09,5.82,4;
204800,0.480500,2.999819,0.364157,0.190050,0.19,0.09,5.43,5;
204800,0.481519,3.177536,0.367467,0.190856,0.21,0.07,6.22,4;
204800,0.494126,2.432023,0.375577,0.214315,0.09,0.07,5.53,3;
204800,0.481283,2.795261,0.367462,0.192032,0.09,0.07,5.36,3;
204800,0.479284,3.122219,0.367536,0.188260,0.11,0.06,8.11,2;
