Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
204800,0.482385,3.824282,0.366190,0.190572,0.11,0.05,7.14,2;
204800,0.484197,4.685855,0.366046,0.191105,0.12,0.03,7.11,2;
204800,0.480810,4.056014,0.365672,0.191157,0.07,0.09,8.03,2;
204800,0.484435,3.851289,0.365515,0.189073,0.08,0.08,8.12,2;
204800,0.479828,3.620974,0.367322,0.188866,0.07,0.06,6.32,2;
204800,0.479384,4.193426,0.366380,0.190392,0.08,0.09,10.86,1;
204800,0.480606,3.828258,0.365840,0.189630,0.10,0.05,8.16,2;
204800,0.487154,3.653513,0.364952,0.189932,0.11,0.05,6.38,2;
204800,0.482088,3.840333,0.367579,0.189440,0.12,0.04,7.86,2;
204800,0.479209,3.830188,0.365931,0.190351,0.12,0.04,8.11,2;
204800,0.482517,4.186070,0.365117,0.189859,0.09,0.08,8.15,2;
204800,0.481177,4.107945,0.365435,0.188807,0.06,0.10,8.28,2;
204800,0.487901,4.178977,0.364916,0.190925,0.07,0.07,7.94,1;
204800,0.485356,4.324563,0.367854,0.190213,0.11,0.05,7.39,2;
204800,0.480733,4.024972,0.364631,0.190090,0.12,0.04,8.46,1;
204800,0.479348,3.905197,0.365322,0.190834,0.09,0.06,8.11,2;
204800,0.482577,3.621404,0.365849,0.188575,0.09,0.06,6.82,2;
204800,0.480232,4.304156,0.366302,0.188303,0.09,0.04,7.02,2;
204800,0.480595,3.792564,0.364531,0.191036,0.10,0.06,6.87,2;
204800,0.479332,3.854364,0.364352,0.192687,0.09,0.08,6.65,2;
204800,0.480165,4.160787,0.368825,0.189580,0.07,0.09,7.85,2;
204800,0.482273,4.144256,0.369122,0.189905,0.08,0.08,6.73,2;
204800,0.480959,4.119151,0.363360,0.191549,0.12,0.05,7.28,2;
204800,0.480878,4.238609,0.366393,0.188872,0.11,0.06,8.33,2;
204800,0.476728,3.483656,0.366008,0.190858,0.09,0.07,8.11,2;
