Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
500000,3.905763,63.232971,1.427156,0.001511,0.11,0.07,89.03,0;
500000,3.891470,64.279756,1.427433,0.001465,0.14,0.03,89.49,0;
500000,3.759976,61.579403,1.422139,0.001474,0.11,0.06,86.46,0;
500000,3.834920,62.144619,1.424807,0.001481,0.11,0.05,89.17,0;
500000,3.834102,70.054107,1.424343,0.001496,0.10,0.05,95.52,0;
500000,3.891443,67.444121,1.423692,0.001471,0.12,0.05,91.63,0;
500000,3.857598,61.068413,1.424210,0.001491,0.09,0.06,89.35,0;
500000,3.861958,61.849309,1.434250,0.001498,0.09,0.07,88.00,0;
500000,3.873329,66.043109,1.426732,0.001502,0.11,0.05,91.58,0;
500000,3.871421,61.442590,1.425457,0.001465,0.11,0.05,89.69,0;
500000,3.849927,60.521775,1.425418,0.001506,0.05,0.09,87.16,0;
500000,3.887880,59.918517,1.431113,0.001482,0.12,0.05,89.62,0;
500000,3.828453,61.128972,1.428024,0.001493,0.08,0.07,89.41,0;
500000,3.765407,58.616634,1.431259,0.001485,0.07,0.08,86.93,0;
500000,3.919435,61.274759,1.427835,0.001480,0.09,0.09,89.08,0;
500000,3.919799,62.337981,1.428615,0.001479,0.09,0.06,89.52,0;
500000,3.746343,61.823870,1.436255,0.001487,0.10,0.08,88.29,0;
500000,3.888648,60.623396,1.430861,0.001547,0.14,0.02,88.83,0;
500000,3.894853,60.812850,1.426675,0.001472,0.10,0.05,88.38,0;
500000,3.723494,64.974327,1.425872,0.001489,0.11,0.05,89.44,0;
500000,3.829230,66.986155,1.430192,0.001476,0.08,0.07,91.16,0;
500000,3.891563,66.737194,1.421718,0.001481,0.10,0.07,92.33,0;
500000,3.891621,58.775638,1.423533,0.001500,0.12,0.04,89.26,0;
500000,3.894360,61.292547,1.423677,0.001494,0.06,0.10,89.23,0;
500000,3.842800,61.692404,1.426981,0.001478,0.12,0.04,89.44,0;
