Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
250000,1.448758,11.187320,0.618960,0.000968,0.08,0.09,18.62,0;
250000,1.468205,12.385925,0.616485,0.000987,0.07,0.08,18.72,0;
250000,1.446753,12.008657,0.618002,0.000973,0.10,0.06,19.19,0;
250000,1.447877,10.370135,0.622361,0.000943,0.12,0.04,20.37,0;
250000,1.444170,12.474533,0.627500,0.000976,0.11,0.05,18.43,0;
250000,1.462004,12.044465,0.625788,0.000980,0.14,0.03,23.99,0;
250000,1.475419,12.991492,0.617240,0.001001,0.11,0.04,22.49,0;
250000,1.446253,11.798463,0.613837,0.001008,0.08,0.08,19.36,0;
250000,1.443530,11.527415,0.621162,0.000976,0.22,0.06,18.58,1;
250000,1.453754,11.152604,0.618916,0.000978,0.09,0.07,18.37,0;
250000,1.434555,12.538415,0.617284,0.000973,0.11,0.04,19.03,0;
250000,1.445576,13.130142,0.623698,0.000971,0.09,0.07,19.73,0;
250000,1.434700,11.531316,0.615195,0.000960,0.10,0.06,18.86,0;
250000,1.441196,11.938854,0.621030,0.000961,0.10,0.06,23.15,0;
250000,1.443352,11.497585,0.624132,0.000963,0.06,0.10,17.90,0;
250000,1.459747,11.914854,0.622804,0.000975,0.08,0.06,18.88,0;
250000,1.450344,11.965160,0.620745,0.000974,0.08,0.06,18.34,0;
250000,1.468510,11.867279,0.617207,0.000984,0.12,0.05,18.47,0;
250000,1.462768,12.669738,0.626943,0.000983,0.08,0.09,19.64,0;
250000,1.439439,11.914123,0.628300,0.000979,0.11,0.05,18.71,0;
250000,1.468653,11.311549,0.629571,0.000976,0.13,0.03,21.55,0;
250000,1.493931,14.669536,0.636562,0.000993,0.12,0.04,22.49,0;
250000,1.461763,12.472007,0.637119,0.000973,0.08,0.08,21.51,0;
250000,1.446482,11.446627,0.631659,0.000943,0.09,0.08,20.90,0;
250000,1.461769,12.645330,0.631715,0.001282,0.09,0.07,20.18,0;
