Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
250000,1.443884,45.694290,0.603062,0.000984,0.10,0.08,48.50,0;
250000,1.447024,46.069565,0.605550,0.000965,0.13,0.04,48.44,0;
250000,1.427277,45.503351,0.604157,0.000963,0.09,0.08,47.85,0;
250000,1.443476,45.489318,0.604203,0.000964,0.16,0.01,47.89,0;
250000,1.444196,45.617403,0.602035,0.000966,0.11,0.03,47.97,0;
250000,1.426125,45.707001,0.599426,0.000959,0.11,0.04,48.03,0;
250000,1.435119,45.446815,0.599326,0.000962,0.11,0.06,47.83,0;
250000,1.433899,45.588712,0.600531,0.000962,0.08,0.08,47.91,0;
250000,1.454729,45.635029,0.601184,0.000964,0.07,0.08,48.00,0;
250000,1.428660,45.538720,0.601375,0.000978,0.12,0.03,47.88,0;
250000,1.439582,45.440002,0.602227,0.000997,0.12,0.04,50.08,0;
250000,1.452982,45.567769,0.601444,0.000968,0.12,0.04,49.87,0;
250000,1.446498,45.468079,0.601326,0.000973,0.08,0.08,49.90,0;
250000,1.428234,45.463543,0.601249,0.000994,0.13,0.03,49.88,0;
250000,1.427097,45.715738,0.601897,0.000979,0.11,0.07,49.87,0;
250000,1.440794,45.501439,0.602519,0.000975,0.12,0.05,52.58,0;
250000,1.442974,45.427509,0.602580,0.000987,0.09,0.08,47.78,0;
250000,1.448143,45.515637,0.601984,0.000991,0.09,0.08,47.91,0;
250000,1.441284,45.403974,0.602959,0.000968,0.08,0.09,47.72,0;
250000,1.453260,45.468571,0.601729,0.000978,0.10,0.06,47.85,0;
250000,1.430903,45.546610,0.601787,0.000970,0.13,0.03,47.89,0;
250000,1.437477,45.516378,0.601690,0.000967,0.08,0.07,47.85,0;
250000,1.429047,45.446206,0.601883,0.000973,0.13,0.04,47.81,0;
250000,1.454129,45.967773,0.603093,0.000982,0.07,0.07,50.03,0;
250000,1.429982,45.551374,0.602346,0.000968,0.11,0.03,49.88,0;
