Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
500000,3.740879,132.417618,1.400135,0.001488,0.12,0.05,137.19,0;
500000,3.746929,131.861839,1.398676,0.001483,0.13,0.03,136.66,0;
500000,3.774087,131.860465,1.399255,0.001493,0.13,0.03,136.71,0;
500000,3.744637,132.717014,1.398271,0.001487,0.10,0.05,137.42,0;
500000,3.755095,131.881048,1.399852,0.001473,0.08,0.06,136.64,0;
500000,3.755410,133.126043,1.399223,0.001486,0.08,0.08,137.91,0;
500000,3.747753,133.382963,1.401396,0.001483,0.08,0.08,138.11,0;
500000,3.790103,133.193534,1.404946,0.001515,0.10,0.07,138.03,0;
500000,3.753446,132.817202,1.399973,0.001507,0.11,0.04,137.58,0;
500000,3.749814,132.315058,1.400030,0.001478,0.05,0.11,137.11,0;
500000,3.741004,132.054527,1.399943,0.001476,0.09,0.08,136.83,0;
500000,3.792321,133.603756,1.401541,0.001483,0.11,0.05,138.45,0;
500000,3.744795,132.011196,1.399916,0.001493,0.13,0.02,136.80,0;
500000,3.740014,131.967660,1.400019,0.001485,0.07,0.10,136.77,0;
500000,3.744913,132.760084,1.401010,0.001512,0.10,0.07,137.58,0;
500000,3.758674,132.317761,1.401336,0.001537,0.07,0.07,137.08,0;
500000,3.752113,132.895953,1.399780,0.001496,0.10,0.04,137.68,0;
500000,3.754104,131.893329,1.400899,0.001485,0.08,0.06,136.59,0;
500000,3.742926,133.260451,1.400224,0.001484,0.07,0.08,137.98,0;
500000,3.746815,131.962334,1.396623,0.001477,0.08,0.08,136.72,0;
500000,3.750769,132.764175,1.397391,0.001496,0.08,0.06,137.56,0;
500000,3.739868,132.786899,1.398161,0.001477,0.12,0.04,137.59,0;
500000,3.748687,132.815050,1.396379,0.001479,0.09,0.06,137.58,0;
500000,3.737571,131.773346,1.395400,0.001483,0.10,0.05,136.58,0;
500000,3.741523,133.830580,1.394718,0.001494,0.07,0.07,138.58,0;
