Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
6000,24.606318,55.346248,1.384578,32.570659,0.11,0.05,80.92,0;
6000,24.611476,55.254089,1.385264,32.521523,0.10,0.06,80.85,0;
6000,24.670757,55.321708,1.392896,32.527879,0.08,0.06,80.95,0;
6000,24.668245,55.377865,1.388187,32.634171,0.12,0.05,81.04,0;
6000,24.610822,55.238564,1.392670,32.508581,0.08,0.07,80.80,0;
6000,24.638108,55.334300,1.393110,32.637741,0.12,0.04,80.96,0;
6000,24.626433,55.477471,1.393344,32.717058,0.09,0.07,81.10,0;
6000,24.652363,55.237118,1.386656,32.494947,0.12,0.05,80.89,0;
6000,24.616455,55.308645,1.391399,32.577010,0.12,0.05,80.86,0;
6000,24.522832,55.324520,1.392203,32.637717,0.06,0.10,80.85,0;
6000,24.522323,55.262510,1.388448,32.569546,0.11,0.06,80.74,0;
6000,24.574511,55.912473,1.388053,32.618338,0.12,0.04,81.50,0;
6000,24.536109,55.227246,1.382423,32.586377,0.10,0.05,80.76,0;
6000,24.511345,55.071767,1.383046,32.453305,0.09,0.08,80.58,0;
6000,24.515784,55.339297,1.384684,32.585956,0.09,0.06,80.81,0;
6000,24.597127,55.185226,1.391547,32.539811,0.10,0.05,80.77,0;
6000,24.566006,55.289909,1.384027,32.543823,0.13,0.03,80.79,0;
6000,24.602862,55.336804,1.383878,32.629549,0.10,0.06,80.95,0;
6000,24.671835,55.445550,1.381483,32.654756,0.11,0.06,81.09,0;
6000,24.532037,55.260219,1.388466,32.599670,0.11,0.05,80.79,0;
6000,24.635425,55.323384,1.385627,32.636053,0.12,0.04,80.91,0;
6000,24.617084,55.296946,1.381327,32.605518,0.11,0.04,80.90,0;
6000,24.522076,55.225181,1.382068,32.513122,0.11,0.06,80.75,0;
6000,24.630274,55.299267,1.385281,32.546417,0.11,0.06,80.93,0;
6000,24.614032,55.501226,1.389257,32.759588,0.12,0.03,81.07,0;
